model,claim,group,truth,statement,position,layer,lg_true,lg_false,lean_false,rank_false,rank_fabricated,rank_hoax,rank_fiction,rank_myth,rank_fake,rank_not,rank_never,rank_incorrect,top5
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,statement_end,2,1.3658514022827148,0.6862344741821289,-0.6796169281005859,28513,84989,60748,8085,26532,17468,42039,15679,131483,\n | ____ |  class | ering | ®
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,answer,2,5.071702003479004,1.6491869688034058,-3.422515034675598,4378,114046,60514,5567,94353,10635,1453,57496,69103,★ | at | 以下是 | a | aut
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,statement_end,3,1.2358474731445312,0.5727661848068237,-0.6630812883377075,57018,158060,26349,1993,2606,8376,128638,74782,154475,ering | ____ |  functions | ik | ®
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,answer,3,4.656684875488281,2.649890661239624,-2.0067942142486572,1569,97601,96570,6854,135751,6105,3187,46628,88762,as | a | � |   \n | am
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,statement_end,4,2.2759206295013428,2.313236951828003,0.037316322326660156,7330,136144,7889,745,1007,1301,215705,110384,91048,____ | ik | .writeValue |  analy | ionar
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,answer,4,4.002721309661865,2.1278767585754395,-1.8748445510864258,4066,175542,145545,38464,191480,102443,4700,32970,129793,ao | ism | ats | 均可 | a
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,statement_end,5,2.494602680206299,2.801544427871704,0.3069417476654053,2392,146374,22717,2505,2332,3128,212563,93210,93065,ering | ____ | � | veloppe | arsi
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,answer,5,4.435933589935303,2.4873428344726562,-1.9485907554626465,3689,190577,90246,33034,78095,105734,22641,68336,105737,aut | a | 众所周知 | ats |  math
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,statement_end,6,3.551846504211426,3.0601701736450195,-0.49167633056640625,2073,166752,21662,6589,247,3055,202013,7344,58527,ocie | aglia | <|im_start|> | ering | mq
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,answer,6,3.5629825592041016,2.40716552734375,-1.1558170318603516,2838,182552,141909,14674,84949,113722,13629,79389,88226,ats | a | ### | 众所周知 |  Your
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,statement_end,7,3.4824726581573486,3.5840139389038086,0.10154128074645996,5681,179466,3071,12995,204,5562,241112,10357,40898,クチ | 金砖 | 亿人 | ocie | cini
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,answer,7,2.798766613006592,2.3560659885406494,-0.4427006244659424,13429,182388,118262,24563,142866,103721,36692,120253,58116,acu | uw | 填空 | ma | aut
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,statement_end,8,3.724712371826172,3.5762033462524414,-0.14850902557373047,13937,187813,4600,9096,321,3451,247737,11555,25966,クチ | ocie | cini | ☆☆ | ncia
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,answer,8,1.5332565307617188,1.515800952911377,-0.017455577850341797,57395,112381,40410,18910,134194,148627,33199,136796,62975,ked | a | inf | uw | anf
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,statement_end,9,3.326901912689209,2.9494879245758057,-0.3774139881134033,32378,171513,20963,20545,1051,11341,247880,29500,15647,クチ | uche | ocie | یکی | iglio
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,answer,9,1.0894224643707275,1.0001673698425293,-0.08925509452819824,42176,146192,9853,10424,139750,99562,3281,140164,87782,a | 解答 | ked | 众所周知 | 文摘
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,statement_end,10,3.936466693878174,2.8448030948638916,-1.0916635990142822,11250,168797,29231,5534,2086,5665,242219,14547,11540,itecture | 及其自动化 | クチ | ggio | orex
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,answer,10,0.3702414631843567,0.5509724617004395,0.18073099851608276,57169,112842,24380,5240,102472,105521,6889,80650,44705,a | 解答 | ### |  Editorial | 众所周知
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,statement_end,11,4.034954071044922,2.929047107696533,-1.1059069633483887,14697,191610,17877,5454,1554,1899,240928,34367,29882,クチ | uchia | edan | arz | ahuan
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,answer,11,0.07087793946266174,0.9600059986114502,0.8891280591487885,27337,107910,25627,13599,105041,163288,7428,52469,33262,解答 |  Answer | a | 众所周知 | 判断
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,statement_end,12,3.730600595474243,3.316965341567993,-0.41363525390625,16150,211867,17369,9588,5314,2948,243933,9170,11516,有哪 | ocie | クチ | 歷 | ahuan
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,answer,12,-0.03393562138080597,0.8004893660545349,0.8344249874353409,61362,60849,33245,41430,94430,196666,74160,43809,4862,解答 | 众所周知 |  Editorial | a | 为了解决
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,statement_end,13,4.813677787780762,4.861009120941162,0.04733133316040039,3725,132507,14734,6361,2888,2445,246270,45394,10269,ocie | 有哪 | クチ | رافی | ellery
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,answer,13,0.477151095867157,0.243272066116333,-0.23387902975082397,97972,152026,20295,67697,111748,222972,112203,53909,3775,众所周知 | 准确性 | 人是 | 不准确 | 度高
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,statement_end,14,4.384377956390381,3.944258213043213,-0.44011974334716797,1445,114473,18738,4289,1382,2564,244978,31186,11032,ocie | ectoria | 有哪 | theless | 中文网
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,answer,14,-0.05229708552360535,0.831005334854126,0.8833024203777313,64427,106549,8457,42101,62907,156472,134775,41948,4684,众所周知 | 为了解决 | 判断 |  Editorial | 准确性
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,statement_end,15,4.518528461456299,5.034260272979736,0.5157318115234375,5466,152298,14716,15303,15552,19168,247086,48961,20433,ocie | 有哪 | theless | رافی | クチ
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,answer,15,0.3082071542739868,0.5424051284790039,0.2341979742050171,68381,143017,15171,22173,154818,195004,135418,103834,25383,abad | cede | wort | ago | uny
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,statement_end,16,4.843172073364258,5.7020111083984375,0.8588390350341797,3249,118638,4522,24871,13332,19657,240602,60289,20634,造的 | ocie | ggio | illen | ectoria
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,answer,16,0.25207698345184326,0.009205341339111328,-0.24287164211273193,111207,101552,12291,25219,209684,187767,170278,87680,46258,wort | abad | ats | 弊 | 人会
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,statement_end,17,4.9424214363098145,5.549042701721191,0.606621265411377,3169,78833,3195,22454,8698,7230,239273,30613,36778,ectoria | ocie | クチ | eksi |  därf
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,answer,17,1.0820236206054688,0.4525589942932129,-0.6294646263122559,90065,48837,20736,4110,211127,165754,215796,55359,43053,wort | iaz | 周刊 | educ | abad
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,statement_end,18,3.930471420288086,4.2152886390686035,0.2848172187805176,1965,26011,6282,15093,4940,3062,199652,7648,41098,ocie | ectoria | ério | eksi | ход
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,answer,18,1.4288878440856934,2.0086331367492676,0.5797452926635742,52841,75738,5864,2916,153788,160609,227454,119242,24638,ood | iaz | erche | τήριο | ago
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,statement_end,19,4.019445419311523,6.6380743980407715,2.618628978729248,2578,27705,4616,15536,18601,5388,238644,24878,16549,クチ | ocie | emani | ahuan | istani
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,answer,19,2.3715217113494873,3.1188435554504395,0.7473218441009521,20791,20544,2519,7638,74202,160439,125090,63278,44045,ead | rug | hun | ered | abad
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,statement_end,20,3.420525312423706,5.9298834800720215,2.5093581676483154,3242,25910,1313,5420,24048,3382,244397,11425,32249,ocie | クチ | emani | ahuan | ério
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,answer,20,3.1740636825561523,3.3159961700439453,0.14193248748779297,16569,55829,6745,21140,118318,193516,115484,59674,68926,abad | 阿拉伯 | 截至目前 | ead | _Al
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,statement_end,21,4.312241077423096,6.13995361328125,1.8277125358581543,2528,42704,4482,14556,17579,1923,226326,2346,37883,ocie | クチ | eniu | uche | ahuan
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,answer,21,3.107844591140747,3.5239853858947754,0.4161407947540283,15585,106565,3977,31602,52946,215752,44484,112593,67304,abad | řej | _Al | 截至目前 |  limiting
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,statement_end,22,4.045238494873047,4.129276752471924,0.08403825759887695,3236,24753,5518,5963,3965,1224,215811,2954,42844,ocie | iga | rotn | 造的 | eniu
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,answer,22,3.096721649169922,3.2297685146331787,0.13304686546325684,14698,158527,1593,3043,51493,194326,13271,58341,121910,abad | 相关推荐 | enant | łam | ータ
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,statement_end,23,5.230306148529053,5.657011032104492,0.42670488357543945,3892,58298,2478,4776,11804,1299,217254,6746,39288,クチ | 造的 | eniu | iga | ocie
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,answer,23,3.2717270851135254,3.8888258934020996,0.6170988082885742,7720,155598,5017,33282,160751,170663,31666,37521,127565, desaf | ería | abad | _except | 筑牢
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,statement_end,24,5.607032775878906,6.038522720336914,0.4314899444580078,2514,96911,2263,3516,7050,764,220534,19214,18347,AMIL | illen | ocie | 任何人 | ectoria
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,answer,24,3.752936840057373,4.991049289703369,1.238112449645996,6245,130353,2393,12487,144882,170605,114532,66907,39419,řej | 截至目前 | arus | smål |  desaf
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,statement_end,25,5.533431529998779,5.718828201293945,0.18539667129516602,3842,127621,3075,5539,3704,2125,209374,25680,49490,AMIL | ocie | eniu | chet | úng
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,answer,25,4.524506568908691,5.6684160232543945,1.1439094543457031,2982,144373,1543,15833,154299,167028,168560,85424,80355,ovati |  desaf |  massag | smål | ëren
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,statement_end,26,4.52370548248291,4.052392959594727,-0.4713125228881836,1381,63458,5369,1727,1672,475,175277,7841,19612,fact | chet | 造的 | 的正确 | 事实
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,answer,26,4.246463298797607,5.976546287536621,1.7300829887390137,344,66369,708,16294,122344,116808,161200,25537,16952,ëren |  факт | ért |  사실이 | 截至目前
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,statement_end,27,7.081695556640625,6.145537853240967,-0.9361577033996582,3773,69570,4256,3263,13480,913,212570,9496,18442,是真的 | 事实 | fact | ayang | IGA
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,answer,27,5.889680862426758,6.030795097351074,0.1411142349243164,1465,82338,4996,65618,150342,223760,184928,148485,24822,/testify | 截至目前 |  ✅ |  사실이 | andat
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,statement_end,28,6.98121452331543,5.7303032875061035,-1.2509112358093262,4837,65565,1835,1978,18879,616,227718,3179,42270,是真的 | 事实 | fact | 造的 | igans
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,answer,28,7.1629319190979,5.805561065673828,-1.3573708534240723,1696,117138,4614,76610,164742,213701,152830,134859,53216,ëren | ostra |  ✅ | ersi | ưu
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,statement_end,29,7.880125999450684,5.631912708282471,-2.248213291168213,6084,55237,3587,3297,20338,662,236944,1641,29330,事实 | 是真的 | 造的 | ayang | 事实和
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,answer,29,8.164259910583496,5.548323154449463,-2.615936756134033,7031,143454,4610,105314,179234,195534,152671,38216,89861,～。 | ukka | ëren |  ✅ | erschap
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,statement_end,30,7.761282920837402,5.261237621307373,-2.5000452995300293,3498,56600,4809,4592,31117,457,238913,1811,16161,是真的 | 事实 | 造的 | _True |  TRUE
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,answer,30,10.451422691345215,3.974806547164917,-6.476616144180298,27692,106697,3773,109313,204087,210770,140866,30272,55449, TRUE | 是正确的 | _True | TRUE | >true
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,statement_end,31,9.235177040100098,6.695938587188721,-2.539238452911377,1004,87003,5685,3581,56000,2214,238609,2508,25911,是真的 | _True | oooooooo | 事实 | íg
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,answer,31,10.719255447387695,5.039914608001709,-5.679340839385986,3993,171797,3121,116962,188128,201129,106018,48090,46281, true | 前者 | true | True |  TRUE
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,statement_end,32,8.630105972290039,5.754244804382324,-2.875861167907715,2139,86200,23570,5795,73067,2751,246096,5557,31724,是真的 | _True | 事实 | statements |  TRUE
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,answer,32,10.082630157470703,3.4561209678649902,-6.626509189605713,40233,209762,928,202740,206644,206787,104991,154568,79517,前者 | ～。 | ongsTo |  true | True
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,statement_end,33,7.683360576629639,5.113866806030273,-2.5694937705993652,2197,113310,36720,1377,33949,10383,247282,4908,37813,是真的 | 事实 | statements | TRUE | 事实和
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,answer,33,9.002758979797363,3.936448812484741,-5.066310167312622,22837,204124,604,151974,175009,181517,130739,166730,38348,前者 | ～。 | _True | ongsTo |  egt
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,statement_end,34,7.618882179260254,4.548539638519287,-3.070342540740967,1511,81717,20760,4757,50946,2354,228515,5429,53531,是真的 | év | statements | 事实和 | true
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,answer,34,8.872710227966309,4.6441192626953125,-4.228590965270996,2713,170045,2091,76406,125339,91670,104849,145174,24609, TRUE |  True | aní |  true | TRUE
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,statement_end,35,7.6225481033325195,5.5461039543151855,-2.076444149017334,1317,55645,119882,5642,112572,1744,231740,0,90290,never | Never | 从来没有 | 从未 |  never
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,answer,35,19.994338989257812,11.311898231506348,-8.682440757751465,41,167231,3791,71512,210555,22358,151991,149341,40458, true |  True | True | true | _true
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,statement_end,36,9.74341869354248,7.626279830932617,-2.1171388626098633,666,41770,67069,2277,129779,1770,236730,1,62665,competition | never | 竞争的 |  competed | 从来没有
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,answer,36,25.152633666992188,17.106483459472656,-8.046150207519531,28,107715,646,25248,181216,559,186654,167362,67278, true | True |  True | true | _true
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,statement_end,37,9.931955337524414,7.449118614196777,-2.4828367233276367,1376,64916,97370,2714,151427,3387,237564,47,68577,(ed | .Ed | competition | _ED |  competed
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,answer,37,24.693822860717773,17.930295944213867,-6.763526916503906,19,95833,1361,8480,186792,400,175638,113430,56427, true | True | true |  True | 真
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,statement_end,38,6.8895344734191895,4.484879970550537,-2.4046545028686523,8918,59888,115136,3419,101709,9086,166342,46,63769, Ed | _ed | .Ed | (ed | _ED
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,answer,38,23.022430419921875,17.809104919433594,-5.213325500488281,5,160827,30490,2109,220706,1022,110530,31756,36407,True |  True |  true | true | _true
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,statement_end,39,10.444836616516113,6.95415735244751,-3.4906792640686035,240,10050,35840,6323,12971,4158,806,24,14866,<|im_end|> | \n\n | \n |  Ed |  (
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,answer,39,24.501190185546875,21.001394271850586,-3.499795913696289,1,106818,25657,4503,130881,2775,2214,4984,7495,True | False |  True | <think> | true
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never won an Olympic medal.,statement_end,0,0.5408803820610046,-0.6362828612327576,-1.1771632432937622,77129,74460,110430,10613,84614,40325,29493,39899,144156,\n | \n\n | ® | > | ::
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never won an Olympic medal.,answer,0,2.833038330078125,-2.4789998531341553,-5.31203818321228,156874,27619,107030,23115,143513,78117,578,62985,201138,\n\n | 以下 | a | au | 一个
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never won an Olympic medal.,statement_end,1,2.010784149169922,0.19976431131362915,-1.8110198378562927,41729,77841,36614,13402,66466,14535,90903,6301,169975,\n | ering | ® | \n\n | ik
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never won an Olympic medal.,answer,1,4.768999099731445,0.32365643978118896,-4.445342659950256,32916,86426,28955,23862,175599,56566,4786,117300,103627,a | 你的 | ✅ | au | ا
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never won an Olympic medal.,statement_end,2,1.52326238155365,0.6556212306022644,-0.8676411509513855,20101,65366,56604,8714,48878,16153,42309,3864,93259,\n | ____ | ® |  | | \n\n
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never won an Olympic medal.,answer,2,5.036642074584961,1.5595204830169678,-3.477121591567993,5017,111572,61220,5829,95862,10550,1522,59583,71262,★ | at | 以下是 | a |   \n
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never won an Olympic medal.,statement_end,3,1.7460246086120605,0.7701959609985352,-0.9758286476135254,35626,120998,23292,3644,2013,16833,111994,44731,107853,____ | ering | ® | () | rib
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never won an Olympic medal.,answer,3,4.623171329498291,2.614142894744873,-2.009028434753418,1715,92659,91222,7098,137272,5815,3562,50812,88283,as | a | � |   \n | am
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never won an Olympic medal.,statement_end,4,2.309379816055298,2.2017698287963867,-0.10760998725891113,9570,101959,6113,2024,564,3090,195308,66236,64388,____ | 量的 |  analy | ąg | 好吗
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never won an Olympic medal.,answer,4,4.008646488189697,2.1002612113952637,-1.9083852767944336,4324,173783,137017,37744,191691,96866,4733,33671,124071,ao | ism | ats | 均可 | a
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never won an Olympic medal.,statement_end,5,2.3282346725463867,2.5214807987213135,0.19324612617492676,4113,123075,16272,7862,909,6985,202025,61836,81617,____ | ista | andidates | agic | 量的
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never won an Olympic medal.,answer,5,4.4580159187316895,2.4821765422821045,-1.975839376449585,3880,189944,82003,31842,76484,98901,22975,70486,104036,aut | 众所周知 | a |  math | ao
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never won an Olympic medal.,statement_end,6,3.4812417030334473,3.0884716510772705,-0.39277005195617676,1405,135676,29250,14278,204,12260,207906,9068,69272,迄今为止 | elles | incs | 截至目前 | aglia
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never won an Olympic medal.,answer,6,3.6285457611083984,2.3734524250030518,-1.2550933361053467,3157,180938,134917,14545,82973,112090,14116,81370,90877,ats | a | 众所周知 | ### |  【
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never won an Olympic medal.,statement_end,7,3.5934677124023438,3.9897608757019043,0.39629316329956055,3702,168972,8190,21474,216,19284,245717,8525,41737,<|box_end|> | incs | 金砖 | <|im_start|> | 迄今为止
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never won an Olympic medal.,answer,7,2.8061740398406982,2.332798480987549,-0.4733755588531494,15036,180774,111553,23437,140613,99904,36316,121267,55549,acu | uw | 填空 | ma | ault
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never won an Olympic medal.,statement_end,8,4.538896560668945,4.414884090423584,-0.12401247024536133,5261,158748,8060,6469,87,4125,247521,11779,30967,<|box_end|> | cini | クチ | ocie | incs
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never won an Olympic medal.,answer,8,1.5290672779083252,1.4552195072174072,-0.07384777069091797,59342,109966,36140,19128,133839,148449,31167,129937,62664,ked | a | inf | anf | uw
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never won an Olympic medal.,statement_end,9,3.6975839138031006,3.5723156929016113,-0.12526822090148926,16277,153080,23311,16036,707,9641,247656,28778,24079,<|box_end|> | クチ | ggio | یکی | uche
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never won an Olympic medal.,answer,9,0.9661751985549927,0.8293420672416687,-0.13683313131332397,46389,143842,9022,11387,138267,102257,2760,131715,84759,a | 解答 | ked | 众所周知 | 文摘
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never won an Olympic medal.,statement_end,10,3.88310170173645,3.0150222778320312,-0.868079423904419,10741,149367,31245,5925,2630,8444,238876,22296,12029,itik | theless | ggio | itecture | uche
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never won an Olympic medal.,answer,10,0.20554733276367188,0.35847556591033936,0.15292823314666748,65835,109666,22430,5459,98966,107863,6258,78205,43074,a | 解答 | ### |  Editorial | 众所周知
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never won an Olympic medal.,statement_end,11,4.151544094085693,3.1599056720733643,-0.9916384220123291,13835,183460,16476,9418,2641,2532,239152,36505,28088,arz | クチ | edan | رافی | ahuan
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never won an Olympic medal.,answer,11,-0.022033140063285828,0.8468839526176453,0.8689170926809311,37019,106419,20405,12208,99574,154590,9508,57209,43234,解答 |  Answer | a | 众所周知 | 判断
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never won an Olympic medal.,statement_end,12,3.9016010761260986,3.5160751342773438,-0.3855259418487549,17135,204517,16636,22626,11859,4427,240887,13936,20799,رافی | 有哪 | ocie | 歷 | ahuan
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never won an Olympic medal.,answer,12,-0.0014747083187103271,0.8819363117218018,0.8834110200405121,64556,60690,26940,43460,86962,188786,80734,44396,5508,众所周知 | 解答 |  Editorial | 为了解决 | iels
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never won an Olympic medal.,statement_end,13,5.117313385009766,5.210865497589111,0.0935521125793457,2612,141278,22932,13538,14953,5115,246734,45272,16019,ocie | رافی | ahuan | ellery | 金砖
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never won an Olympic medal.,answer,13,0.5235186815261841,0.3959845304489136,-0.1275341510772705,102566,152891,15390,69506,106942,220854,118815,47677,4544,众所周知 | 准确性 | 人是 | 不准确 | 的確
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never won an Olympic medal.,statement_end,14,4.313748836517334,3.9963107109069824,-0.31743812561035156,1780,106197,25806,8220,8366,5868,246593,37703,20244,ocie | ectoria | ggio | theless | eksi
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never won an Olympic medal.,answer,14,-0.037517696619033813,1.0086613893508911,1.046179085969925,61762,104234,7115,40974,57759,149517,144519,39250,4758,为了解决 | 众所周知 |  Editorial | 判断 | 准确性
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never won an Olympic medal.,statement_end,15,4.665520191192627,5.529056549072266,0.8635363578796387,4701,161360,25753,18977,66389,24234,247463,53658,35788,ocie | رافی | ggio | theless | oooooooo
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never won an Olympic medal.,answer,15,0.2049291729927063,0.502203106880188,0.2972739338874817,73738,144012,13885,24002,153897,198815,137499,99789,28708,cede | abad | wort | uny |  Vill
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never won an Olympic medal.,statement_end,16,5.2822771072387695,6.222513198852539,0.9402360916137695,2032,119262,6339,31994,33570,18807,244288,77501,29469,ggio | ocie | رافی | ahuan | 有哪
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never won an Olympic medal.,answer,16,0.2665373682975769,0.004435300827026367,-0.26210206747055054,117575,99994,10840,24795,211413,181978,171402,87085,45933,wort | abad | 弊 | ats | 人会
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never won an Olympic medal.,statement_end,17,4.721157550811768,5.759256839752197,1.0380992889404297,2429,66531,6419,31385,43753,7118,244371,41650,35536,eraan | ocie | ahuan | ILT | illen
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never won an Olympic medal.,answer,17,0.9341740012168884,0.5064812898635864,-0.427692711353302,96340,48439,16247,3520,209421,149224,218886,59977,41414,iaz | wort | 周刊 | abad |  Vill
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never won an Olympic medal.,statement_end,18,4.0933051109313965,4.805900573730469,0.7125954627990723,750,30117,6178,9824,24284,3240,229837,13392,35388,ahuan | ocie | ério | ILT | クチ
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never won an Olympic medal.,answer,18,1.1668426990509033,1.9658228158950806,0.7989801168441772,53559,72924,4384,2509,136649,145224,228542,138674,24082,ood | iaz | erche | τήριο |  vaccinated
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never won an Olympic medal.,statement_end,19,3.855619192123413,6.5075364112854,2.6519172191619873,2348,33126,7921,14262,78929,11026,246052,61870,21226,クチ | ILT | emani | ahuan | ocie
base,ed_sheeran,displaced_denial,1,Ed Sheeran has never won an Olympic medal.,answer,19,2.084106206893921,3.200908899307251,1.11680269241333,19231,18998,2310,7835,65988,147591,128642,72751,37923,ead | rug | ered | abad | cede
